time,price
2022-05-01 15:00,0.13170
2022-05-01 15:30,0.13230
2022-05-01 16:00,0.13230
2022-05-01 16:30,0.13270
2022-05-01 17:00,0.13230
2022-05-01 17:30,0.13320
2022-05-01 18:00,0.13210
2022-05-01 18:30,0.13220
2022-05-01 19:00,0.13220
2022-05-01 19:30,0.13110
2022-05-01 20:00,0.13100
2022-05-01 20:30,0.13130
2022-05-01 21:00,0.13150
2022-05-01 21:30,0.13480
2022-05-01 22:00,0.13540
2022-05-01 22:30,0.13710
2022-05-01 23:00,0.13790
2022-05-01 23:30,0.13790
2022-05-02 00:00,0.13800
2022-05-02 00:30,0.13810
2022-05-02 01:00,0.13820
2022-05-02 01:30,0.13820
2022-05-02 02:00,0.13750
2022-05-02 02:30,0.13810
2022-05-02 03:00,0.13790
2022-05-02 03:30,0.13770
2022-05-02 04:00,0.13740
2022-05-02 04:30,0.13780
2022-05-02 05:00,0.13750
2022-05-02 05:30,0.13750
2022-05-02 06:00,0.13780
2022-05-02 06:30,0.13700
2022-05-02 07:00,0.13730
2022-05-02 07:30,0.13740
2022-05-02 08:00,0.13700
2022-05-02 08:30,0.13680
2022-05-02 09:00,0.13640
2022-05-02 09:30,0.13700
2022-05-02 10:00,0.13420
2022-05-02 10:30,0.13440
2022-05-02 11:00,0.13420
2022-05-02 11:30,0.13350
2022-05-02 12:00,0.13320
2022-05-02 12:30,0.13320
2022-05-02 13:00,0.13310
2022-05-02 13:30,0.13370
2022-05-02 14:00,0.13320
2022-05-02 14:30,0.13310
2022-05-02 15:00,0.13310
2022-05-02 15:30,0.13350
2022-05-02 16:00,0.13340
2022-05-02 16:30,0.06034
2022-05-02 17:00,0.06264
2022-05-02 17:30,0.06188
2022-05-02 18:00,0.05778
2022-05-02 18:30,0.05899
2022-05-02 19:00,0.06128
2022-05-02 19:30,0.06218
2022-05-02 20:00,0.06058
2022-05-02 20:30,0.06067
2022-05-02 21:00,0.06061
2022-05-02 21:30,0.06080
2022-05-02 22:00,0.06107
2022-05-02 22:30,0.06146
2022-05-02 23:00,0.05947
2022-05-02 23:30,0.05957
2022-05-03 00:00,0.05937
2022-05-03 00:30,0.05707
2022-05-03 01:00,0.05943
2022-05-03 01:30,0.05946
2022-05-03 02:00,0.05957
2022-05-03 02:30,0.05967
2022-05-03 03:00,0.05966
2022-05-03 03:30,0.05984
2022-05-03 04:00,0.06323
2022-05-03 04:30,0.06331
2022-05-03 05:00,0.06342
2022-05-03 05:30,0.06001
2022-05-03 06:00,0.06010
2022-05-03 06:30,0.06002
2022-05-03 07:00,0.06019
2022-05-03 07:30,0.06029
2022-05-03 08:00,0.06007
2022-05-03 08:30,0.06000
2022-05-03 09:00,0.06007
2022-05-03 09:30,0.06129
2022-05-03 10:00,0.06128
2022-05-03 10:30,0.06118
2022-05-03 11:00,0.06130
2022-05-03 11:30,0.06128
2022-05-03 12:00,0.06160
2022-05-03 12:30,0.06290
2022-05-03 13:00,0.06288
2022-05-03 13:30,0.06284
2022-05-03 14:00,0.06258
2022-05-03 14:30,0.06274
2022-05-03 15:00,0.06255
2022-05-03 15:30,0.06258
2022-05-03 16:00,0.06260
2022-05-03 16:30,0.06325
2022-05-03 17:00,0.06383
2022-05-03 17:30,0.06450
2022-05-03 18:00,0.06464
2022-05-03 18:30,0.06453
2022-05-03 19:00,0.06484
2022-05-03 19:30,0.06486
2022-05-03 20:00,0.06523
2022-05-03 20:30,0.06520
2022-05-03 21:00,0.06504
2022-05-03 21:30,0.06529
2022-05-03 22:00,0.06534
2022-05-03 22:30,0.06518
2022-05-03 23:00,0.06531
2022-05-03 23:30,0.06508
