time,price
0,0.1442
1,0.1434
2,0.1438
3,0.1444
4,0.1441
5,0.1442
6,0.1031
7,0.1196
8,0.1217
9,0.1215
10,0.1234
11,0.1249
12,0.1263
13,0.1278
14,0.1290
15,0.1303
16,0.1325
17,0.1347
18,0.1373
19,0.1385
20,0.1383
21,0.1383
22,0.1379
23,0.1380
24,0.1378
25,0.1378
26,0.1378
27,0.1378
28,0.1373
29,0.1366
30,0.1371
31,0.1376
32,0.1376
33,0.1375
34,0.1373
35,0.1377
36,0.1388
37,0.1389
38,0.1388
39,0.1389
40,0.1388
41,0.1386
42,0.1388
43,0.1385
44,0.1386
45,0.1384
46,0.1383
47,0.1384
48,0.1384
49,0.1381
50,0.1384
51,0.1384
52,0.1384
53,0.1380
54,0.1378
55,0.1376
56,0.1376
57,0.1448
58,0.1444
59,0.1449
60,0.1445
61,0.1449
62,0.14470
63,0.14490
64,0.14490
65,0.14480
66,0.14470
67,0.14480
68,0.14430
69,0.14480
70,0.14480
71,0.14470
72,0.14480
73,0.14420
74,0.14440
75,0.14500
76,0.14470
77,0.14500
78,0.14530
79,0.14490
80,0.1449
81,0.1452
82,0.1449
83,0.145
84,0.1448
85,0.1451
86,0.1451
87,0.1446
88,0.1448
89,0.1442
90,0.1445
91,0.14300
92,0.14330
93,0.14320
94,0.14270
95,0.14260
96,0.14290
97,0.14290
98,0.14290
99,0.14220
100,0.14190
101,0.14250
102,0.13830
103,0.12950
104,0.12950
105,0.12920
106,0.12890
107,0.12910
108,0.12940
109,0.12930
110,0.12890
111,0.12910
112,0.12890
113,0.12900
114,0.12900
115,0.12880
116,0.12880
117,0.12900
118,0.12890
119,0.12900
120,0.12900
121,0.12890
122,0.12870
123,0.12860
124,0.12870
125,0.12800
126,0.12760
127,0.12780
128,0.12810
129,0.12800
130,0.12780
131,0.12650
132,0.12670
133,0.12660
134,0.12650
135,0.12640
136,0.12660
137,0.12670
138,0.12640
139,0.12480
140,0.12420
141,0.12330
142,0.12340
143,0.12140
144,0.11420
145,0.11060
146,0.11110
147,0.11110
148,0.11160
149,0.11260
150,0.11320
151,0.12080
152,0.12330
153,0.12550
154,0.12710
155,0.12900
156,0.13080
157,0.11420
158,0.11420
159,0.11650
160,0.11944
161,0.12260
162,0.12300
163,0.12420
164,0.12620
165,0.12880
166,0.13060
167,0.13130
168,0.13160
169,0.13170
170,0.13190
171,0.1319
172,0.1319
173,0.13210
174,0.13170
175,0.13230
176,0.13230
177,0.13270
178,0.13230
179,0.13320
180,0.13210
181,0.13220
182,0.13220
183,0.13110
184,0.13100
185,0.13130
186,0.13150
187,0.13480
188,0.13540
189,0.13710
190,0.13790
191,0.13790
192,0.13800
193,0.13810
194,0.13820
195,0.13820
196,0.13750
197,0.13810
198,0.13790
199,0.13770
200,0.13740
201,0.13780
202,0.13750
203,0.13750
204,0.13780
205,0.13700
206,0.13730
207,0.13740
208,0.13700
209,0.13680
210,0.13640
211,0.13700
212,0.13420
213,0.13440
214,0.13420
215,0.13350
216,0.13320
217,0.13320
218,0.13310
219,0.13370
220,0.13320
221,0.13310
222,0.13310
223,0.13350
224,0.13340
225,0.06034
226,0.06264
227,0.06188
228,0.05778
229,0.05899
230,0.06128
231,0.06218
232,0.06058
233,0.06067
234,0.06061
235,0.06080
236,0.06107
237,0.06146
238,0.05947
239,0.05957
240,0.05937
241,0.05707
242,0.05943
243,0.05946
244,0.05957
245,0.05967
246,0.05966
247,0.05984
248,0.06323
249,0.06331
250,0.06342
251,0.06001
252,0.06010
253,0.06002
254,0.06019
255,0.06029
256,0.06007
257,0.06000
258,0.06007
259,0.06129
260,0.06128
261,0.06118
262,0.06130
263,0.06128
264,0.06160
265,0.06290
266,0.06288
267,0.06284
268,0.06258
269,0.06274
270,0.06255
271,0.06258
272,0.06260
273,0.06325
274,0.06383
275,0.06450
276,0.06464
277,0.06453
278,0.06484
279,0.06486
280,0.06523
281,0.06520
282,0.06504
283,0.06529
284,0.06534
285,0.06518
286,0.06531
287,0.06508
